DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,11114366,5976328,853244932,5509729.0,875845355.0,1706489864,16076495736
AMM,S_Tree,RIS,2,11230640,5976328,427879208,5509729.0,450595905.0,1281124140,7703387860
AMM,S_Tree,RIS,4,12054496,5976328,213939604,5509729.0,237480157.0,1067184536,3754613864
AMM,S_Tree,RIS,8,13837248,5976328,108681264,5509729.0,134004569.0,961926196,1805523404
AMM,S_Tree,RIS,40,52305680,5976328,23164070,5509729.0,86955807.0,876409002,1215818198
AMM,S_Tree,RWS,1,11114366,853244932,6481309,5509729.0,876350336.0,1706489864,16076495736
AMM,S_Tree,RWS,2,11229712,427288312,6481309,5509729.0,450509062.0,1280533244,7703236356
AMM,S_Tree,RWS,4,12054688,213644668,6481309,5509729.0,237690394.0,1066889600,3754985600
AMM,S_Tree,RWS,8,13799216,108027572,6481309,5509729.0,133817826.0,961272504,1798570696
AMM,S_Tree,RWS,40,51983200,22980504,6481309,5509729.0,86954742.0,876225436,1203102564
AMM,S_Tree,ROS,1,11114366,853244932,20275809,5509729.0,890144836.0,1706489864,16076495736
AMM,S_Tree,ROS,2,11229712,427288312,20275809,5509729.0,464303562.0,1706489864,7277279736
AMM,S_Tree,ROS,4,12054688,213644668,20275809,5509729.0,251484894.0,1706489864,3115385336
AMM,S_Tree,ROS,8,13799216,108027572,20275809,5509729.0,147612326.0,1706489864,1053353336
AMM,S_Tree,ROS,40,51983200,22980504,20275809,5509729.0,100749242.0,1706489864,372838136
AMM,ST_Tree_Ac,RIS,1,0,5976328,853244932,5509729.0,864730989.0,1706489864,16076495736
AMM,ST_Tree_Ac,RIS,2,0,5976328,427879208,5509729.0,439365265.0,1281124140,7703387860
AMM,ST_Tree_Ac,RIS,4,0,5976328,213939604,5509729.0,225425661.0,1067184536,3754613864
AMM,ST_Tree_Ac,RIS,8,0,5976328,108681264,5509729.0,120167321.0,961926196,1805523404
AMM,ST_Tree_Ac,RIS,40,0,5976328,23164070,5509729.0,34650127.0,876409002,1215818198
AMM,ST_Tree_Ac,RWS,1,0,853244932,6481309,5509729.0,865235970.0,1706489864,16076495736
AMM,ST_Tree_Ac,RWS,2,0,427288312,6481309,5509729.0,439279350.0,1280533244,7703236356
AMM,ST_Tree_Ac,RWS,4,0,213644668,6481309,5509729.0,225635706.0,1066889600,3754985600
AMM,ST_Tree_Ac,RWS,8,0,108027572,6481309,5509729.0,120018610.0,961272504,1798570696
AMM,ST_Tree_Ac,RWS,40,0,22980504,6481309,5509729.0,34971542.0,876225436,1203102564
AMM,ST_Tree_Ac,ROS,1,0,853244932,20275809,5509729.0,879030470.0,1706489864,16076495736
AMM,ST_Tree_Ac,ROS,2,0,427288312,20275809,5509729.0,453073850.0,1706489864,7277279736
AMM,ST_Tree_Ac,ROS,4,0,213644668,20275809,5509729.0,239430206.0,1706489864,3115385336
AMM,ST_Tree_Ac,ROS,8,0,108027572,20275809,5509729.0,133813110.0,1706489864,1053353336
AMM,ST_Tree_Ac,ROS,40,0,22980504,20275809,5509729.0,48766042.0,1706489864,372838136
AMM,STIFT,RIS,1,0,5976328,853244932,5509729.0,864730989.0,1706489864,16076495736
AMM,STIFT,RIS,2,0,5976328,427879208,5509729.0,439365265.0,1281124140,7703387860
AMM,STIFT,RIS,4,0,5976328,213939604,5509729.0,225425661.0,1067184536,3754613864
AMM,STIFT,RIS,8,0,5976328,108681264,5509729.0,120167321.0,961926196,1805523404
AMM,STIFT,RIS,40,0,5976328,23164070,5509729.0,34650127.0,876409002,1215818198
AMM,STIFT,RWS,1,0,853244932,6481309,5509729.0,865235970.0,1706489864,16076495736
